Discap,Cycle
2.0353,2
2.0302,3
2.0251,4
2.0192,5
2.0133,6
2.0133,7
2.0133,8
2.0069,9
2.0005,10
2.0072,11
2.0139,12
2.0135,13
2.0131,14
1.9909,15
1.9688,16
1.9685,17
1.9682,18
1.9627,19
1.9572,20
1.9514,21
1.9456,22
1.942,23
1.9384,24
1.9348,25
1.929,26
1.9233,27
1.9176,28
1.9119,29
1.9065,30
1.9011,31
1.8951,32
1.8892,33
1.8837,34
1.8783,35
1.8729,36
1.8676,37
1.8676,38
1.8676,39
1.9049,40
1.9423,41
1.9796,42
1.9741,43
1.9686,44
1.9631,45
1.9575,46
1.9546,47
1.9517,48
1.9487,49
1.9458,50
1.9404,51
1.935,52
1.9296,53
1.9242,54
1.9297,55
1.9351,56
1.9405,57
1.946,58
1.9348,59
1.9237,60
1.9126,61
1.9014,62
1.8957,63
1.89,64
1.8844,65
1.8787,66
1.8761,67
1.8735,68
1.8709,69
1.8683,70
1.8652,71
1.8622,72
1.8591,73
1.856,74
1.8533,75
1.8506,76
1.8479,77
1.8452,78
1.8482,79
1.8512,80
1.8542,81
1.8572,82
1.8741,83
1.891,84
1.9079,85
1.9248,86
1.9141,87
1.9035,88
1.8929,89
1.8822,90
1.8755,91
1.8688,92
1.862,93
1.8553,94
1.8513,95
1.8473,96
1.8433,97
1.8393,98
1.8341,99
1.8289,100
1.8237,101
1.8185,102
1.8173,103
1.816,104
1.8147,105
1.8135,106
1.8094,107
1.8053,108
1.8012,109
1.7971,110
1.7931,111
1.7891,112
1.785,113
1.781,114
1.7785,115
1.776,116
1.7735,117
1.771,118
1.7684,119
1.7657,120
1.7631,121
1.7605,122
1.7579,123
1.7554,124
1.7528,125
1.7503,126
1.7476,127
1.7449,128
1.7422,129
1.7395,130
1.7433,131
1.7471,132
1.7509,133
1.7547,134
1.7603,135
1.7659,136
1.7579,137
1.7499,138
1.7418,139
1.7338,140
1.7287,141
1.7236,142
1.7184,143
1.7133,144
1.7106,145
1.7079,146
1.7051,147
1.7024,148
1.7631,149
1.8237,150
1.8198,151
1.8159,152
1.812,153
1.8081,154
1.8,155
1.7919,156
1.7839,157
1.7758,158
1.768,159
1.7603,160
1.7525,161
1.7447,162
1.7409,163
1.737,164
1.7331,165
1.7292,166
1.7239,167
1.7187,168
1.7134,169
1.7081,170
1.7055,171
1.7029,172
1.7002,173
1.6976,174
1.6937,175
1.6898,176
1.6859,177
1.6821,178
1.6794,179
1.6768,180
1.6741,181
1.6715,182
1.6688,183
1.6661,184
1.6634,185
1.6608,186
1.6583,187
1.6559,188
1.6535,189
1.6511,190
1.6484,191
1.6456,192
1.6429,193
1.6401,194
1.6374,195
1.6347,196
1.6319,197
1.6292,198
1.6241,199
1.619,200
1.6139,201
1.6088,202
1.6075,203
1.6062,204
1.6049,205
1.6035,206
1.6024,207
1.6012,208
1.6001,209
1.599,210
1.5961,211
1.5933,212
1.5905,213
1.5876,214
1.5853,215
1.583,216
1.579,217
1.5751,218
1.5711,219
1.5671,220
1.5657,221
1.5642,222
1.5628,223
1.5613,224
1.5588,225
1.5563,226
1.5537,227
1.5512,228
1.5485,229
1.5459,230
1.5433,231
1.5407,232
1.5368,233
1.533,234
1.5292,235
1.5253,236
1.5265,237
1.5277,238
1.5289,239
1.5302,240
1.5288,241
1.5274,242
1.526,243
1.5247,244
1.5221,245
1.5196,246
1.5171,247
1.5145,248
1.5133,249
1.512,250
1.5107,251
1.5094,252
1.508,253
1.5067,254
1.5053,255
1.504,256
1.5014,257
1.4988,258
1.4961,259
1.4935,260
1.492,261
1.4906,262
1.4891,263
1.4876,264
1.509,265
1.5303,266
1.5237,267
1.5172,268
1.5106,269
1.5041,270
1.5002,271
1.4964,272
1.4926,273
1.4888,274
1.4861,275
1.4835,276
1.4809,277
1.4783,278
1.4783,279
1.4784,280
1.4784,281
1.4785,282
1.4771,283
1.4758,284
1.4745,285
1.4732,286
1.4718,287
1.4704,288
1.4689,289
1.4675,290
1.4635,291
1.4596,292
1.4556,293
1.4516,294
1.4517,295
1.4518,296
